Unhealthy Wells
01N09E20A001S
01N09E35N001S
01S09E03D001S
01S23E01A001S
02N05E11A001S
02S05E30L001S
02S05E30L002S
03N08E29L001S
03N14W33K001S
03S02W07P001S
03S03W15J001S
03S05E10J001S
03S05E11J001S
03S05E14M002S
03S05E17K001S
03S07W11N002S
04N01E01R002S
04N01W03F002S
04N15W01E001S
04S16E32D001S
04S16E32M001S
04S17E06C001S
05N01E23C001S
05N14W30R002S
05S01E14G001S
05S08E33N001S
05S15E27B001S
05S16E05B001S
05S16E07M001S
05S16E08F001S
05S16E36M001S
06N03W09D001S
06N03W09E001S
06N03W09E004S
06N05W06J001S
06N12E29P001S
06N12E35F001S
06N14E32N001S
06S04W06J001S
06S08E10A003S
07S09E16K001S
08S02W28M001S
08S09E29R001S
09N07W25N001M
09N19E26D001S
10N20E13R001S
14N03E32L001S
17N12E08P001S
18N07E30D001SS
28N16E08B001M
